R13,100K,,
C10,100n,,
C19,100n,,
C21,100n,,
C22,100n,,
C23,100n,,
C26,100n,,
C3,100n,,
C6,100n,,
C13,100u,,
L1,100u,,
R1,10K,,
R14,10K,,
R20,10K,,
R2,10K,,
R3,10K,,
R4,10K,,
R5,10K,,
R12,10R,,
C8,1200u,,
X1,16MHz,,
R11,1K,,
R21,1K,,
R22,1K,,
R23,1K,,
R19,1M,,
R7,1M,,
C11,1u,,
C1,1u,,
C17,1u,,
C2,200n,,
R9,220K,,
C14,220n,,
C16,22n,,
C24,22p,,
C25,22p,,
C5,22u,,
C7,22u,,
R10,2K2,,
R15,2K2,,
R16,2K2,,
R17,2K2,,
R18,2K2,,
C12,2n2,,
C18,2u2,,
C20,2u2,,
C4,470p,,
R24,470R,,
R25,470R,,
R26,470R,,
R27,470R,,
R8,470R,,
C15,47n,,
C9,47n,,
IC1,ATMEGA328-P,DIL28,
D1,BAT43,,
D2,BAT43,,
Q1,BF244A,TO92,
P1,CONN_2,,
P2,CONN_2,,
P5,CONN_2X2,,
P3,CONN_3X2,,
P4,CONN_3X2,,
Q2,IRFU3505,,
U4,LE33CZ,,
D3,LED,,
D4,LED,,
D5,LED,,
D6,LED,,
D7,LED,,
U1,LM386,,
U3,MCP1700T,,
U2,MCP6002,,
MK1,MIC9.7MM,,
R6,R,,
U5,RFM12B,,
SW1,SW_PUSH,,
SW2,SW_PUSH,,
SW3,SW_PUSH,,
SW4,SW_PUSH,,
SW5,SW_PUSH,,
Reference, Value, Footprint, Datasheet
Q3,ZTX313,,
